Bairro,População
Aventureiro,34878
Paranaguá-mirim,27728
Costa e Silva,27425
Jardim-iririú,22756
Iririu,22344
Vila Nova,22008
Comasa,19601
Joinville (demais Setores),18053
Floresta,17986
Jardim Paraíso,16791
Boa Vista,16638
Boehmerwaldt,16224
Itaum,14287
Fátima,14031
Petrópolis,13368
Saguaçu,13087
Nova Brasília,12810
João Costa,12560
Jarivatuba,12318
Guanabara,11352
América,11264
Bom Retiro,11160
Parque Guaraní,10633
Glória,10327
Espinheiros,9616
Santa Catarina,9440
Ulysses Guimarães,9365
Adhemar Garcia,9278
Morro de Meio,8606
Anita Garibaldi,8156
Santo Antônio,6555
Itinga,6362
Rio Bonito,6236
Bucarein,5428
Atiradores,5002
Centro,4961
Jardim Sofia,4221
Pirabeiraba,4215
Zona Industrial 1,3028
São Marcos,2649
Profipo,1036
Vila Cubatão,933
Dona Francisca,528
Zona Industrial 2,44